v7_bilinear_32_112000600.pt , f1_macro : 0.13969097949366557, f1_micro 0.7617970752299111, Accuracy 0.5681378242353852
v7_bilinear_32_112000800.pt , f1_macro : 0.1496553420348219, f1_micro 0.7682628968988231, Accuracy 0.572977158343012
v7_bilinear_32_112001000.pt , f1_macro : 0.16404429883595384, f1_micro 0.7744811458637826, Accuracy 0.5737514518002322
v7_bilinear_32_112001200.pt , f1_macro : 0.16804047808064407, f1_micro 0.7738276990185387, Accuracy 0.5741385985288424
v7_bilinear_32_112001400.pt , f1_macro : 0.16862834913813904, f1_micro 0.7717626678215679, Accuracy 0.5609756097560976
v7_bilinear_32_112001600.pt , f1_macro : 0.1929004001517844, f1_micro 0.776758847972489, Accuracy 0.5716221447928765
v7_bilinear_32_112001800.pt , f1_macro : 0.22037560119391367, f1_micro 0.7763035214803128, Accuracy 0.5652342237708091
v7_bilinear_32_112002000.pt , f1_macro : 0.22407174241079186, f1_micro 0.7734437422822692, Accuracy 0.575880758807588
v7_bilinear_32_112002200.pt , f1_macro : 0.2262307519506388, f1_micro 0.7711852172657716, Accuracy 0.5673635307781649
v7_bilinear_32_112002400.pt , f1_macro : 0.236919684252179, f1_micro 0.7809040265143502, Accuracy 0.5685249709639953
v7_bilinear_32_112002600.pt , f1_macro : 0.23711900945276557, f1_micro 0.7791598550003555, Accuracy 0.5814943863724351
v7_bilinear_32_112002700.pt , f1_macro : 0.2456860932295291, f1_micro 0.7797328810684757, Accuracy 0.5716221447928765
