resizerv42d_v2_32_14_scratch000000.pt , f1_macro : 0.08797191074512302, f1_micro 0.6109127267533209, Accuracy 0.35617499032133176
resizerv42d_v2_32_14_scratch000001.pt , f1_macro : 0.12276199095151778, f1_micro 0.6862516515116189, Accuracy 0.4804490902051878
resizerv42d_v2_32_14_scratch000002.pt , f1_macro : 0.24943993138250858, f1_micro 0.7606813342796308, Accuracy 0.5501355013550135
resizerv42d_v2_32_14_scratch000003.pt , f1_macro : 0.2563991246663181, f1_micro 0.7576273591599262, Accuracy 0.5526519550909795
resizerv42d_v2_32_14_scratch000004.pt , f1_macro : 0.2565715594465218, f1_micro 0.7613554434030281, Accuracy 0.5617499032133179
resizerv42d_v2_32_14_scratch000005.pt , f1_macro : 0.26787521315654944, f1_micro 0.758296538954565, Accuracy 0.5418118466898955
resizerv42d_v2_32_14_scratch000006.pt , f1_macro : 0.264226771960637, f1_micro 0.7676051343876321, Accuracy 0.5652342237708091
resizerv42d_v2_32_14_scratch000007.pt , f1_macro : 0.2707815957936805, f1_micro 0.7708053928142867, Accuracy 0.5669763840495547
resizerv42d_v2_32_14_scratch000008.pt , f1_macro : 0.27110102728962476, f1_micro 0.7676076020122974, Accuracy 0.5598141695702671
resizerv42d_v2_32_14_scratch000009.pt , f1_macro : 0.2776306298929512, f1_micro 0.7673956262425448, Accuracy 0.5663956639566395
resizerv42d_v2_32_14_scratch000010.pt , f1_macro : 0.2624879303740484, f1_micro 0.7683210137275607, Accuracy 0.5667828106852497
resizerv42d_v2_32_14_scratch000011.pt , f1_macro : 0.28031922380227375, f1_micro 0.7729489082043671, Accuracy 0.5700735578784359
resizerv42d_v2_32_14_scratch000012.pt , f1_macro : 0.28700028667926514, f1_micro 0.7713137296382483, Accuracy 0.5683313975996903
resizerv42d_v2_32_14_scratch000013.pt , f1_macro : 0.27765260310390416, f1_micro 0.7685386940324734, Accuracy 0.5613627564847077
resizerv42d_v2_32_14_scratch000014.pt , f1_macro : 0.2775133445474022, f1_micro 0.7708450704225353, Accuracy 0.5634920634920635
resizerv42d_v2_32_14_scratch000015.pt , f1_macro : 0.29406209548554685, f1_micro 0.7736288557916284, Accuracy 0.5723964382500968
resizerv42d_v2_32_14_scratch000016.pt , f1_macro : 0.27671718887654256, f1_micro 0.7696673051003758, Accuracy 0.5631049167634533
