bilinear_32_resizer_v2_v8000006.pt , f1_macro : 0.2898597117576286, f1_micro 0.7565569196428571, Accuracy 0.548586914440573
bilinear_32_resizer_v2_v8000007.pt , f1_macro : 0.2868699034890136, f1_micro 0.7562092410156792, Accuracy 0.5480061943476577
bilinear_32_resizer_v2_v8000008.pt , f1_macro : 0.2812513475510678, f1_micro 0.7576157102213588, Accuracy 0.5474254742547425
bilinear_32_resizer_v2_v8000010.pt , f1_macro : 0.2833770636361706, f1_micro 0.7621606724541822, Accuracy 0.5534262485481998
bilinear_32_resizer_v2_v8000012.pt , f1_macro : 0.29387059954237876, f1_micro 0.7617616934107204, Accuracy 0.5481997677119629
bilinear_32_resizer_v2_v8000014.pt , f1_macro : 0.2899566318050137, f1_micro 0.7551452991452992, Accuracy 0.5408439798683701
bilinear_32_resizer_v2_v8000016.pt , f1_macro : 0.2927521488848498, f1_micro 0.7597238362157359, Accuracy 0.5439411536972513
bilinear_32_resizer_v2_v8000018.pt , f1_macro : 0.30198554097942687, f1_micro 0.7449876407580335, Accuracy 0.521680216802168
bilinear_32_resizer_v2_v8000020.pt , f1_macro : 0.3064398700444977, f1_micro 0.7616640480907165, Accuracy 0.5545876887340302
bilinear_32_resizer_v2_v8000022.pt , f1_macro : 0.2968662786724206, f1_micro 0.7577200380900558, Accuracy 0.540650406504065
bilinear_32_resizer_v2_v8000024.pt , f1_macro : 0.3002167790536545, f1_micro 0.751971473633683, Accuracy 0.5420054200542005
bilinear_32_resizer_v2_v8000025.pt , f1_macro : 0.28872505634143675, f1_micro 0.7472116383789402, Accuracy 0.5369725125822686
