bilinear_32_resizer_v4_v8_final000006.pt , f1_macro : 0.24278659643510883, f1_micro 0.7651472253680635, Accuracy 0.5625241966705381
bilinear_32_resizer_v4_v8_final000008.pt , f1_macro : 0.25173174168419615, f1_micro 0.7574089754445384, Accuracy 0.54045683313976
bilinear_32_resizer_v4_v8_final000010.pt , f1_macro : 0.2600218916285443, f1_micro 0.7670466466186447, Accuracy 0.5600077429345722
bilinear_32_resizer_v4_v8_final000012.pt , f1_macro : 0.24588113132997513, f1_micro 0.7603784241739621, Accuracy 0.5511033681765389
bilinear_32_resizer_v4_v8_final000014.pt , f1_macro : 0.25249744097674776, f1_micro 0.7661908445257014, Accuracy 0.5582655826558266
bilinear_32_resizer_v4_v8_final000016.pt , f1_macro : 0.2446722229366258, f1_micro 0.7590234292549074, Accuracy 0.5472319008904375
bilinear_32_resizer_v4_v8_final000018.pt , f1_macro : 0.2600139535873971, f1_micro 0.7673068951222882, Accuracy 0.5451025938830817
bilinear_32_resizer_v4_v8_final000020.pt , f1_macro : 0.25866430344331115, f1_micro 0.7659306875349357, Accuracy 0.5511033681765389
bilinear_32_resizer_v4_v8_final000022.pt , f1_macro : 0.26879068047319266, f1_micro 0.7605770564572063, Accuracy 0.5447154471544715
bilinear_32_resizer_v4_v8_final000024.pt , f1_macro : 0.2568050579820076, f1_micro 0.7626771986740956, Accuracy 0.5526519550909795
bilinear_32_resizer_v4_v8_final000026.pt , f1_macro : 0.26421668534540727, f1_micro 0.7632775872927017, Accuracy 0.556716995741386
bilinear_32_resizer_v4_v8_final000028.pt , f1_macro : 0.2564878307253276, f1_micro 0.7642548445559738, Accuracy 0.5520712349980643
bilinear_32_resizer_v4_v8_final000030.pt , f1_macro : 0.25267081768572364, f1_micro 0.7556401579244219, Accuracy 0.5391018195896244
bilinear_32_resizer_v4_v8_final000032.pt , f1_macro : 0.26483018611308606, f1_micro 0.764339239442538, Accuracy 0.5563298490127758
bilinear_32_resizer_v4_v8_final000034.pt , f1_macro : 0.2544762380892497, f1_micro 0.762670734243916, Accuracy 0.5421989934185056
bilinear_32_resizer_v4_v8_final000036.pt , f1_macro : 0.25935741280566205, f1_micro 0.7655977083769999, Accuracy 0.5511033681765389
bilinear_32_resizer_v4_v8_final000038.pt , f1_macro : 0.2589593364731329, f1_micro 0.7609138840070299, Accuracy 0.5480061943476577
